# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
xiang shi jie 	向世界	c=1 d=1 t=214
xiang si ni 	想死你	c=0 d=0.1 t=3841
xiang si ni le 	想死你了	c=1 d=1 t=3842
xiang tong 	相同	c=1 d=1 t=4693
xiang xi 	詳細	c=1 d=1 t=3414
xiang xiang 	想象	c=0 d=0.151944 t=3002
xiang xiang ta 	想象她	c=1 d=1 t=3003
xiang xie 	想寫	c=1 d=1 t=4800
xiang xin 	相信	c=0 d=0.104097 t=3808
xiang yao 	想要	c=1 d=0.1 t=4135
xiang yao de 	想要的	c=1 d=1 t=5711
xiang yao fu qiang 	想要富強	c=1 d=1 t=1524
xiang zhao 	想找	c=0 d=0.1 t=647
xiang zhe 	向着	c=1 d=1 t=6501
xiang zhi dao 	想知道	c=1 d=1 t=5875
xiang zhi dao ni de 	想知道你的	c=1 d=1 t=3677
xiao 	小	c=6 d=1.51691 t=6694
xiao 	笑	c=1 d=1 t=4383
xiao bai 	小白	c=4 d=2.00499 t=6570
xiao bing 	小冰	c=2 d=0.88692 t=6821
xiao bing o 	小冰哦	c=1 d=1 t=3673
xiao chu 	消除	c=1 d=1 t=1924
xiao de 	小的	c=1 d=1 t=4629
xiao gong 	宵宮	c=1 d=0.904837 t=6821
xiao guo 	效果	c=1 d=1 t=3239
xiao hua 	笑話	c=1 d=1 t=5975
xiao huang 	小黃	c=0 d=0.1 t=3020
xiao huang wen 	小黃文	c=1 d=1 t=3021
xiao ran 	蕭然	c=2 d=1.02746 t=6086
xiao shou 	銷售	c=0 d=0.1 t=265
xiao shou gei 	銷售給	c=1 d=1 t=266
xiao shuo 	小說	c=0 d=0.1 t=6564
xiao shuo ren wu 	小說人物	c=1 d=1 t=6565
xiao wu 	小五	c=1 d=1 t=6407
xiao xing 	小型	c=1 d=1 t=5024
xiao xue 	小穴	c=1 d=1 t=3928
xiao yi 	小姨	c=0 d=0.1 t=2113
xie 	些	c=1 d=0.453455 t=3338
xie 	寫	c=3 d=0.198349 t=4891
xie chu 	寫出	c=2 d=1 t=5184
xie chu lai 	寫出來	c=0 d=0.1 t=774
xie chu lai la 	寫出來啦	c=1 d=1 t=775
xie de 	寫的	c=1 d=1 t=2947
xie le 	寫了	c=1 d=1 t=2072
xie ru 	寫入	c=2 d=1.75957 t=2381
xie wan 	寫完	c=0 d=0.105079 t=4998
xie xie 	謝謝	c=1 d=1 t=5865
xie xie ni 	謝謝你	c=2 d=1.00598 t=3894
xie yi duan 	寫一段	c=1 d=1 t=4410
xie yi pian 	寫一篇	c=2 d=1.8825 t=3045
xie zai 	卸載	c=1 d=1 t=545
xie zai 	寫在	c=0 d=0.1 t=2910
xie zai ri ji li 	寫在日記裏	c=1 d=1 t=2911
xie zuo 	協作	c=1 d=0.1 t=6362
xin 	新	c=2 d=0.1 t=6745
xin chun hui 	新春会	c=1 d=1 t=5533
xin de 	新的	c=1 d=1 t=5822
xin guan yi qing 	新冠疫情	c=2 d=1.97045 t=5454
xin hao 	信號	c=1 d=1.02592 t=2561
xin jian 	新建	c=1 d=1.06036 t=4956
xin jian de 	新建的	c=1 d=1 t=1686
xin jian hao le 	新建好了	c=1 d=1 t=3085
xin jian le 	新建了	c=1 d=1 t=4856
xin ku 	辛苦	c=0 d=0.1 t=5368
xin ku yi xue qi 	辛苦一學期	c=1 d=1 t=5369
xin pian 	芯片	c=0 d=0.1 t=5934
xin shi dai 	新時代	c=0 d=0.1 t=1598
xin shi dai de 	新時代的	c=1 d=1 t=1599
xin shi jie 	新世界	c=1 d=1 t=1600
xin xi 	信息	c=9 d=1.03147 t=6605
xin xi xi tong 	信息系統	c=2 d=1.62189 t=1937
xin xian shi 	新鮮事	c=1 d=1 t=6296
xin yu yan 	新語言	c=1 d=1 t=6746
xin zhuan zhe 	新轉折	c=1 d=0.66365 t=130
xing 	性	c=1 d=1 t=6720
xing neng 	性能	c=2 d=1.00004 t=3245
xing shi 	形勢	c=0 d=0.169333 t=130
xing shi yu zheng ce 	形勢與政策	c=1 d=0.71177 t=130
xing wei 	行爲	c=4 d=1.5823 t=4326
xing xiang 	形象	c=1 d=1 t=2890
xiong di 	兄弟	c=0 d=0.1 t=2067
xiong di yuan xiao 	兄弟院校	c=1 d=1 t=2068
xiong kou 	胸口	c=1 d=1 t=3929
xiu 	修	c=2 d=1.00039 t=5902
xiu fu 	修復	c=2 d=1.46849 t=5895
xiu gai 	修改	c=4 d=1.00056 t=4885
xiu gai he 	修改和	c=1 d=1 t=1744
xiu gai le 	修改了	c=1 d=1 t=2857
xiu le 	修了	c=1 d=1 t=4317
xiu mian 	休眠	c=1 d=1 t=5756
xiu zheng 	修正	c=0 d=0.1 t=4906
xu 	序	c=1 d=0.133541 t=1216
xu 	徐	c=1 d=1 t=6465
xu duo 	許多	c=1 d=1 t=411
xu hao 	序號	c=1 d=1 t=1345
xu ke zheng 	許可證	c=1 d=1 t=6729
xu lie 	序列	c=3 d=2.038 t=4696
xu ni 	虛擬	c=1 d=1 t=6801
xu ni chang jing 	虛擬場景	c=2 d=1.96079 t=3445
xu ni hua 	虛擬化	c=2 d=1.45612 t=719
xu ni nv you 	虚拟女友	c=1 d=1 t=3733
xu qiu 	需求	c=1 d=1 t=6341
xu qiu fen xi 	需求分析	c=1 d=1 t=6350
xu yao 	需要	c=3 d=1.0321 t=6615
xu yao you 	需要有	c=1 d=1 t=4980
xuan 	選	c=2 d=1 t=5567
xuan bu 	宣佈	c=0 d=0.0740818 t=130
xuan bu cheng ren 	宣佈承認	c=1 d=0.744532 t=130
xuan ke 	選課	c=6 d=3.82371 t=5018
xuan ke biao 	選課表	c=2 d=1.88692 t=4960
xuan ke xi tong 	选课系统	c=1 d=1 t=4944
xuan ke xin xi 	選課信息	c=1 d=1 t=3076
xuan xiang 	選項	c=2 d=1.00644 t=6625
xuan ze 	選擇	c=11 d=5.62463 t=4661
xuan zhong 	選中	c=1 d=1 t=4614
xue 	穴	c=1 d=1 t=3637
xue fen 	學分	c=0 d=0.1 t=5371
xue fen na wan 	學分拿完	c=1 d=1 t=5372
xue guo 	學過	c=0 d=0.1 t=5980
xue hao 	學號	c=2 d=1.97531 t=4922
xue sheng 	學生	c=9 d=1.13533 t=5667
xue sheng xuan ke 	學生選課	c=1 d=1 t=4852
xue sheng xuan ke xi tong 	學生選課系統	c=2 d=1.7788 t=4848
xue xi 	學習	c=3 d=1 t=6675
xue xi zi liao 	學習資料	c=1 d=1 t=4227
xue xiao 	學校	c=2 d=1.00034 t=2111
xun huan 	循環	c=0 d=0.1 t=815
xun lian 	訓練	c=3 d=1.0187 t=4030
xun lian de 	訓練的	c=3 d=1 t=5963
xun qiu 	尋求	c=1 d=1 t=5308
xun su 	迅速	c=1 d=1 t=326
xun zhao 	尋找	c=1 d=1 t=5317
ya 	呀	c=1 d=1.08675 t=3906
ya li 	壓力	c=1 d=1 t=283
yan 	言	c=1 d=1 t=2797
yan 	鹽	c=0 d=0.1 t=6045
yan shi 	演示	c=1 d=1.056 t=2635
yan tao hui 	研討會	c=0 d=0.1 t=5506
yan zheng 	驗證	c=3 d=1 t=6287
yan zheng ma 	驗證碼	c=2 d=1.86502 t=3785
yang 	楊	c=1 d=1 t=3685
yang 	羊	c=1 d=1 t=6009
yang cheng 	養成	c=0 d=0.198511 t=4368
yang cheng nan du xiao 	養成難度小	c=1 d=1 t=4369
yang li 	樣例	c=1 d=1 t=6306
yang yi cheng 	楊以澄	c=1 d=1 t=1474
yang yue 	杨悦	c=1 d=1 t=1418
yang zi 	樣子	c=0 d=0.1 t=4194
yao 	要	c=10 d=0.132224 t=6821
yao ba 	要把	c=1 d=1 t=2050
yao bu 	要不	c=1 d=1 t=5658
yao bu shi 	要不是	c=1 d=1 t=4145
yao cha zhao de 	要查找的	c=1 d=1 t=4605
yao de 	要的	c=1 d=1 t=4082
yao deng ta 	要等他	c=1 d=1 t=6650
yao he ni 	要和你	c=1 d=1 t=3916
yao le yao 	搖了搖	c=1 d=1 t=6507
yao qiu 	要求	c=1 d=1 t=6091
yao shi 	要是	c=1 d=1 t=5547
yao xuan ze de 	要選擇的	c=1 d=1 t=4590
yao yi 	要以	c=1 d=1 t=3911
yao you 	要有	c=6 d=1.01001 t=6232
yao zuo 	要做	c=1 d=0.992177 t=6821
yao zuo zi ji de 	要做自己的	c=1 d=0.923116 t=6821
ye 	也	c=11 d=1.00502 t=6690
ye 	業	c=0 d=0.1 t=6443
ye 	爺	c=2 d=1.00006 t=2723
ye bu yong chong fu 	也不用重複	c=1 d=1 t=3598
ye kuai le 	也快樂	c=1 d=1 t=5402
ye rang 	也讓	c=1 d=1 t=367
ye shi 	也是	c=7 d=1.00031 t=6658
ye shi yi ge 	也是一個	c=1 d=1 t=862
ye shuo 	也說	c=0 d=0.1 t=2729
ye shuo bu ding 	也說不定	c=1 d=1 t=2730
ye xiang ni le 	也想你了	c=1 d=1 t=3830
ye xin 	野心	c=1 d=1 t=428
ye yao 	也要	c=2 d=1.01222 t=2680
ye yao you 	也要有	c=1 d=1 t=4926
ye yi jing 	也已經	c=0 d=0.1 t=243
ye yi jing shi shi 	也已經實施	c=1 d=1 t=244
yi 	一	c=4 d=1.02825 t=5515
yi 	以	c=4 d=1 t=6224
yi 	已	c=1 d=1.09618 t=1657
yi 	移	c=0 d=0.1 t=4098
yi 	遺	c=0 d=0.1 t=5584
yi an zhuang 	已安裝	c=1 d=1 t=713
yi an zhui sheng 	疑案追声	c=1 d=1 t=615
yi ba ba 	一把把	c=0 d=0.1 t=5990
yi ba ba ba 	一把把把	c=1 d=1 t=5991
yi ban 	一半	c=2 d=2.05687 t=4625
yi ban 	一般	c=3 d=1.97531 t=6772
yi ban de 	一般的	c=1 d=1 t=353
yi bao 	醫保	c=2 d=1.94649 t=2117
yi bei 	已被	c=1 d=1 t=1637
yi biao ji wei 	已標記爲	c=2 d=1.99005 t=1629
yi bu yi bu 	一步一步	c=1 d=1 t=3393
yi chang 	異常	c=1 d=1.00837 t=4246
yi chang ma fan 	異常麻煩	c=1 d=1 t=3751
yi chu 	移除	c=1 d=1 t=5868
yi ci 	一次	c=3 d=0.482345 t=4470
yi ci yi ge 	一次一個	c=1 d=1 t=3388
yi da dong ji 	一大動機	c=1 d=1 t=199
yi dian 	一點	c=0 d=0.1 t=6036
yi ding 	一定	c=0 d=0.0923116 t=6821
yi ding hui 	一定會	c=2 d=1.9802 t=401
yi ding neng 	一定能	c=1 d=1 t=3164
yi ding shi 	一定是	c=1 d=1 t=3159
yi ding yao gua 	一定要掛	c=1 d=1 t=3776
yi ding yao shi yong de 	一定要使用的	c=1 d=0.927743 t=6821
yi ding yao you 	一定要有	c=1 d=1 t=2154
yi dong 	移動	c=2 d=1.97531 t=2062
yi dong ying pan 	移動硬盤	c=1 d=1 t=602
yi duan 	一段	c=1 d=0.143615 t=6255
yi duan cheng xu 	一段程序	c=1 d=1 t=6090
yi dui 	一堆	c=0 d=0.1 t=636
yi gan er jing 	一乾二淨	c=1 d=1 t=4103
yi ge 	一個	c=29 d=0.754644 t=6821
yi ge ren 	一個人	c=1 d=1 t=3799
yi hui 	一會	c=1 d=1 t=6525
yi ji 	以及	c=4 d=1.00008 t=4966
yi jing 	已經	c=8 d=1.01161 t=6481
yi jing mei you 	已經沒有	c=1 d=0.927743 t=130
yi jing shi 	已經是	c=2 d=1.00001 t=5398
yi jing yong le 	已經用了	c=1 d=1 t=5806
yi jing zai 	已經在	c=1 d=1 t=3083
yi jing zhi dao 	已經知道	c=1 d=1 t=2777
yi kai shi 	一開始	c=1 d=1 t=2173
yi kuan 	一款	c=1 d=0.0980199 t=6821
yi kuan you xi 	一款游戏	c=1 d=1 t=2779
yi lai 	以來	c=2 d=1.76013 t=130
yi lai 	依賴	c=4 d=1.00738 t=6241
yi liang 	一兩	c=1 d=1 t=6081
yi liao zhi wai 	意料之外	c=0 d=0.1 t=3809
yi liao zhi wai de 	意料之外的	c=1 d=1 t=3810
yi lu 	一路	c=1 d=1 t=4322
yi lv 	一縷	c=0 d=0.1 t=5534
yi ma qi 	譯碼器	c=1 d=1 t=2602
yi pai xu 	已排序	c=1 d=1 t=1170
yi pian 	一篇	c=2 d=1.89583 t=2953
yi qi 	一起	c=0 d=0.171534 t=3975
yi qian 	以前	c=1 d=1 t=2774
yi qie 	一切	c=2 d=1 t=5804
yi shang 	以上	c=1 d=1 t=6685
yi shang xin xi 	以上信息	c=1 d=1 t=3607
yi shi 	亦是	c=1 d=1 t=1557
yi shi dao 	意識到	c=2 d=1.02692 t=2584
yi shou ge 	一首歌	c=1 d=1 t=3693
yi si 	意思	c=1 d=1 t=5995
yi ta de 	以她的	c=2 d=1.88692 t=3006
yi tai 	一臺	c=1 d=1.00005 t=3288
yi tian 	一天	c=0 d=0.1 t=3056
yi wai de 	以外的	c=0 d=0.1 t=2002
yi wai de 	意外的	c=1 d=1 t=1708
yi xi lie 	一系列	c=1 d=1 t=5450
yi xia 	一下	c=1 d=0.148196 t=5541
yi xia 	以下	c=7 d=3.45106 t=6194
yi xia ma 	一下嗎	c=1 d=1 t=5542
yi xiang 	一項	c=1 d=1 t=1830
yi xie 	一些	c=9 d=1.52079 t=5609
yi xie xin xi 	一些信息	c=1 d=1 t=5345
yi xue qi 	一學期	c=0 d=0.1 t=5368
yi yan 	一言	c=1 d=1 t=3406
yi yang 	一樣	c=3 d=1.06131 t=4613
yi yi lie ju 	一一列舉	c=1 d=0.88692 t=6821
yi yuan 	意願	c=2 d=1.93707 t=6813
yi zhang 	一張	c=0 d=0.1 t=4958
yi zheng tian 	一整天	c=1 d=1 t=630
yi zhi 	一直	c=4 d=1.00035 t=6136
yi zhi 	一致	c=0 d=0.1 t=2564
yi zhi 	一隻	c=1 d=0.839949 t=4030
yi zhi hui shou zhan 	移至回收站	c=1 d=1 t=4099
yi zhi mao niang 	一隻猫娘	c=1 d=1 t=3985
yi zhi xi huan wo de 	一直喜歡我的	c=1 d=1 t=3500
yi zhi xiang xin zhe de 	一直相信着的	c=1 d=1 t=3170
yi zhi zai 	一直在	c=1 d=1 t=2880
yi zhi zai yi qi ma 	一直在一起嗎	c=1 d=1 t=3976
yi zhi zhuan quan 	一直转圈	c=2 d=1.77105 t=5789
yi zhong 	一種	c=2 d=0.1 t=6431
yi zhong 	一衆	c=1 d=1 t=176
yi zu 	一組	c=0 d=0.1 t=1725
yi zu shu ju ku 	一組數據庫	c=1 d=1 t=1726
yin 	因	c=0 d=0.1 t=1827
yin cang 	隱藏	c=0 d=0.0927743 t=6821
yin cang fen 	隱藏分	c=1 d=1 t=2153
yin cang gong neng 	隱藏功能	c=1 d=0.932394 t=6821
yin ci 	因此	c=4 d=1.00011 t=3487
yin guo guan xi 	因果關係	c=1 d=1 t=2720
yin jiao 	引腳	c=2 d=1.96079 t=2525
yin jie 	音節	c=1 d=1 t=6776
yin nei rong guo chang 	因內容過長	c=1 d=1 t=1828
yin wei 	因爲	c=11 d=1.06249 t=5447
yin wei ta 	因爲他	c=1 d=1 t=2850
yin wei ta 	因爲它	c=2 d=1.10699 t=5489
yin wei wo men 	因爲我們	c=1 d=1 t=3931
yin wei wo zuo tian 	因爲我昨天	c=1 d=1 t=633
yin wei zhe 	因爲這	c=1 d=1 t=3448
yin wei zhe shi 	因爲這是	c=1 d=1 t=3444
yin xi 	音系	c=2 d=1.86071 t=6778
yin yong 	引用	c=0 d=0.1 t=4280
yin yong can shu 	引用參數	c=1 d=1 t=4281
ying gai 	應該	c=6 d=1.21388 t=5933
ying gai bei kan zuo 	應該被看作	c=1 d=1 t=3597
ying gai shi 	應該是	c=2 d=1 t=5595
ying gai yao 	應該要	c=1 d=1 t=5601
ying jian 	硬件	c=3 d=0.679842 t=5943
ying jian sun huai 	硬件損壞	c=1 d=1 t=5944
ying le 	贏了	c=1 d=1 t=5552
ying pan 	硬盤	c=0 d=0.1 t=608
ying she 	映射	c=1 d=1 t=542
ying sheng 	應聲	c=1 d=1 t=6470
ying wen 	英文	c=4 d=1.19585 t=6664
ying wen ming 	英文名	c=1 d=1 t=6301
ying xiang 	影響	c=9 d=1 t=5451
ying yin 	影音	c=1 d=1 t=5580
ying yong 	應用	c=8 d=1.05916 t=6429
ying zai 	映在	c=1 d=1 t=6491
yong 	用	c=3 d=0.102263 t=6574
yong de 	用的	c=1 d=1 t=4132
yong fa 	用法	c=0 d=0.190484 t=1977
yong li 	用例	c=2 d=1 t=5360
yong ru 	湧入	c=1 d=1 t=408
yong tu 	用途	c=1 d=1 t=6425
yong xun huan 	用循環	c=1 d=1 t=816
yong you 	擁有	c=5 d=1.01779 t=4814
yong yuan 	永遠	c=0 d=0.1 t=3908
you 	又	c=0 d=0.100328 t=3276
you 	友	c=1 d=1 t=3906
you 	右	c=1 d=0.125604 t=4617
you 	有	c=13 d=0.297093 t=6211
you 	油	c=0 d=0.1 t=6045
you 	由	c=3 d=1 t=6100
you ban 	右半	c=0 d=0.1 t=1111
you ban bian 	右半邊	c=1 d=1 t=1112
you ban fa 	有辦法	c=0 d=0.1 t=2687
you dian 	有點	c=2 d=1.70469 t=3735
you duo da 	有多大	c=0 d=0.1 t=3247
you fu hao 	有符號	c=1 d=1 t=6212
you fu hao shu 	有符号数	c=1 d=1 t=6218
you ge 	有個	c=2 d=1.00023 t=6594
you ge hao dong xi 	有個好東西	c=1 d=1 t=778
you guan 	有關	c=1 d=1 t=5858
you hen duo 	有很多	c=2 d=1.08458 t=3251
you hua 	優化	c=1 d=0.873884 t=915
you jian 	右鍵	c=1 d=1 t=4058
you le 	有了	c=2 d=1.86936 t=2605
you qi shi 	尤其是	c=1 d=1 t=456
you shen me 	有什麼	c=5 d=1.17063 t=6277
you shen me nei rong 	有什麼內容	c=1 d=1 t=2905
you shi 	優勢	c=1 d=0.572367 t=1294
you shi he lie shi 	優勢和劣勢	c=1 d=1 t=1295
you shi hou 	有時候	c=1 d=1 t=4162
you shi shen me ne 	又是什麼呢	c=1 d=1 t=3277
you shu bu jin qu le 	又輸不進去了	c=1 d=1 t=2133
you xi 	遊戲	c=7 d=1.00069 t=4224
you xi wang 	遊戲王	c=1 d=1 t=2164
you xian 	優先	c=0 d=0.1 t=571
you xian 	有線	c=1 d=1 t=6731
you xian ji 	優先級	c=1 d=0.1 t=5246
you xian ji ding yi 	優先級定義	c=1 d=1 t=5247
you xian qi dong 	優先啓動	c=1 d=1 t=572
you xiao 	有效	c=1 d=1 t=921
you yan bu jin 	油鹽不進	c=1 d=1 t=6046
you yi ban 	右一半	c=1 d=1 t=4618
you you 	幽幽	c=1 d=1 t=6497
you yu 	優於	c=1 d=1 t=1242
you zhu yu 	有助於	c=0 d=0.1 t=4927
yu 	宇	c=0 d=0.0932394 t=6821
yu 	於	c=0 d=0.121014 t=1603
yu 	與	c=13 d=1.05705 t=6705
yu 	語	c=0 d=0.1 t=6752
yu dao 	遇到	c=1 d=0.100991 t=3152
yu fa 	語法	c=2 d=0.101788 t=4210
yu fa cheng fen 	语法成分	c=1 d=1 t=5999
yu fu ka 	預付卡	c=1 d=1 t=5758
yu ji shi jian 	预计时间	c=1 d=1 t=1434
yu ju 	語句	c=9 d=2.54741 t=4983
yu ju zhong 	語句中	c=1 d=1 t=3250
yu kuai 	愉快	c=0 d=0.1 t=3056
yu kuai de yi tian 	愉快的一天	c=1 d=1 t=3057
yu li lun yi zhi 	與理論一致	c=1 d=1 t=2565
yu qi 	語氣	c=1 d=1 t=6814
yu qi 	預期	c=2 d=0.28152 t=2890
yu qi de 	預期的	c=3 d=1.85683 t=1190
yu shi 	於是	c=1 d=1 t=1866
yu shi jie 	與世界	c=1 d=1 t=2718
yu suan 	預算	c=1 d=1 t=6697
yu yan 	語言	c=6 d=1.24332 t=6750
yu yan mo xing 	语言模型	c=5 d=1.90505 t=4028
yu yan neng li 	語言能力	c=1 d=1 t=3999
yu zhi 	與之	c=1 d=1 t=159
yu zhuang 	預裝	c=1 d=1 t=558
yuan 	元	c=0 d=0.1 t=6703
yuan 	原	c=1 d=1.0136 t=1469
yuan 	員	c=0 d=0.1 t=1809
yuan 	遠	c=2 d=1 t=6458
yuan ban 	原版	c=1 d=1 t=1664
yuan ben 	原本	c=2 d=1.0599 t=3963
yuan bu ru 	遠不如	c=1 d=1 t=3240
yuan cheng zhuo mian 	远程桌面	c=1 d=1 t=716
yuan chuang 	原創	c=3 d=2.90752 t=6719
yuan dai ma 	源代碼	c=0 d=0.1 t=5025
yuan jian 	元件	c=0 d=0.1 t=2501
yuan jian de 	元件的	c=1 d=1 t=2502
yuan lai 	原來	c=1 d=1 t=6665
yuan li 	原理	c=1 d=1 t=2588
yuan li tu 	原理圖	c=1 d=1 t=2242
yuan mo fa lun 	元魔法論	c=6 d=5.61673 t=6727
yuan qi jian 	元器件	c=1 d=1 t=2538
yuan shen 	原神	c=13 d=1.21618 t=6315
yuan sheng 	原生	c=1 d=1 t=5500
yuan sheng an zhuo 	原生安卓	c=1 d=1 t=614
yuan shi 	原始	c=1 d=0.1 t=4326
yuan shi xing wei 	原始行爲	c=1 d=1 t=4327
yuan shu zu 	原數組	c=1 d=1 t=1071
yuan su 	元素	c=5 d=2.33718 t=4690
yuan xiao 	院校	c=0 d=0.1 t=2067
yuan ze 	原則	c=1 d=1 t=4077
yuan ze shang 	原則上	c=2 d=1.96561 t=745
yuan zu 	元组	c=2 d=1.96561 t=1930
yue 	月	c=1 d=0.733447 t=130
yue guang 	月光	c=1 d=1 t=5536
yue jie 	越界	c=1 d=1 t=1352
yue nan yu 	越南語	c=1 d=1 t=6324
yue xiu yue cuo 	越修越錯	c=1 d=1 t=4319
yun 	雲	c=1 d=1.1 t=5435
yun nan 	雲南	c=1 d=1 t=3844
yun suan 	運算	c=0 d=0.1 t=2629
yun suan gong neng 	運算功能	c=1 d=1 t=2630
yun xing 	運行	c=5 d=1.62288 t=5462
yun xing bian yi 	運行編譯	c=1 d=1 t=2506
yun xing cheng xu 	運行程序	c=1 d=1 t=5323
yun xing de dao de 	運行得到的	c=1 d=1 t=2477
yun xing le 	運行了	c=1 d=1 t=4903
yun yuan shen 	雲原神	c=2 d=1.20598 t=5752
za xiang 	雜項	c=1 d=1 t=5574
zai 	再	c=2 d=1.69713 t=4180
zai 	在	c=43 d=2.30064 t=6773
zai 	載	c=0 d=0.1 t=600
zai bu tong di fang 	在不同地方	c=1 d=1 t=4212
zai chang yi dian 	再長一點	c=1 d=1 t=3631
zai cheng xu nei 	在程序內	c=1 d=1 t=4244
zai ci 	再次	c=2 d=1.90032 t=6059
zai dang qian de 	在當前的	c=1 d=1 t=2841
zai dang shi 	在當時	c=1 d=1 t=3232
zai duo ge 	在多個	c=1 d=1 t=1306
zai ji xu 	再繼續	c=1 d=1 t=4264
zai liang 	在亮	c=1 d=1 t=6624
zai mang 	在忙	c=1 d=1 t=1516
zai mei ge 	在每個	c=2 d=1.82696 t=2362
zai mei yi ge 	在每一個	c=2 d=1.95123 t=2312
zai nei 	在內	c=0 d=0.1 t=5801
zai nei de 	在內的	c=1 d=1 t=5802
zai shi shi 	再試試	c=1 d=1 t=2108
zai wo de 	在我的	c=1 d=1 t=2806
zai xian 	在線	c=1 d=1 t=6453
zai xian chang 	在现场	c=1 d=1 t=5620
zai xue xiao 	在學校	c=1 d=1 t=2120
zai yan 	再演	c=1 d=1.09501 t=6251
zai yan jiu du 	再演舊都	c=1 d=1 t=6252
zai yi ci 	再一次	c=1 d=1 t=429
zai yi ge 	在一個	c=1 d=1 t=6092
zai you hua 	在優化	c=1 d=1 t=916
zai zhe ge ping tai 	在這個平臺	c=1 d=1 t=2122
zai zhe ge shi jie shang 	在這個世界上	c=1 d=1 t=3992
zai zhe li 	在這裏	c=2 d=1.00253 t=4370
zai zhe qi 	在這起	c=1 d=1 t=432
zai zhe xie 	在這些	c=1 d=1 t=3345
zai zhi qian 	在之前	c=1 d=1 t=4416
zai zhong duan zhong 	在終端中	c=1 d=1 t=5866
zai zhong guo 	在中國	c=1 d=1 t=1559
zai zhuang 	再裝	c=0 d=0.1 t=5459
zai zhuang bu xia 	再裝不下	c=1 d=1 t=5460
zan 	咱	c=0 d=0.1 t=2066
zan hai you 	咱還有	c=1 d=1 t=2067
zan shi 	暫時	c=1 d=1 t=2464
zao 	早	c=1 d=1 t=551
zao 	造	c=1 d=1 t=375
zao an 	早安	c=1 d=1 t=6263
ze 	則	c=4 d=1.00079 t=6123
zen me 	怎麼	c=4 d=0.103091 t=5630
zen me ban 	怎麼辦	c=1 d=1 t=4954
zen me gan 	怎麼幹	c=1 d=0.631284 t=130
zen me hui shi 	怎麼回事	c=0 d=0.1 t=4406
zen me hui shi zhe yang ne 	怎麼會是這樣呢	c=1 d=1 t=3494
zen me ku 	怎麼哭	c=1 d=1 t=3031
zen me lai zhe 	怎麼來着	c=1 d=1 t=4486
zen me qiu rao 	怎麼求饒	c=1 d=1 t=3032
zen me yong 	怎麼用	c=2 d=1 t=3318
zen me zuo 	怎麼做	c=1 d=1 t=3087
zen yang 	怎樣	c=0 d=0.1 t=3610
zen yang de ren 	怎樣的人	c=1 d=1 t=3611
zeng 	增	c=1 d=1 t=1666
zeng jia 	增加	c=1 d=1 t=4883
zeng shan gai cha 	增删改查	c=3 d=1.57695 t=4981
zhai 	摘	c=1 d=1 t=6415
zhai yao 	摘要	c=1 d=0.666977 t=130
zhan 	站	c=2 d=1 t=3728
zhan shi 	展示	c=0 d=0.1 t=1828
zhan tie 	粘貼	c=1 d=1 t=1448
zhan wang 	戰網	c=1 d=1 t=605
zhan zheng 	戰爭	c=1 d=0.356273 t=481
zhan zheng zhong 	戰爭中	c=1 d=1 t=379
zhang 	章	c=2 d=1.99501 t=2235
zhang hu 	賬戶	c=0 d=0.1 t=5822
zhang wo 	掌握	c=4 d=1.39118 t=2643
zhao 	找	c=2 d=1 t=4624
zhao 	照	c=0 d=0.1 t=5139
zhao bu zhao 	找不着	c=1 d=1 t=1373
zhao chu 	找出	c=1 d=1 t=6216
zhao dao 	找到	c=2 d=0.100004 t=5808
zhao dao ma 	找到嗎	c=1 d=1 t=3306
zhao dao ni 	找到你	c=1 d=0.50657 t=3848
zhao dao ni ne 	找到你呢	c=1 d=1 t=3849
zhao dao ta 	找到他	c=1 d=1 t=3385
zhao ge 	找個	c=1 d=1 t=4455
zhao guo 	趙國	c=0 d=0.1 t=2215
zhao guo dong 	趙國冬	c=1 d=1 t=2216
zhao hui 	找回	c=2 d=1.94176 t=4131
zhao le ji 	赵乐际	c=1 d=0.97531 t=6821
zhao ni 	找你	c=0 d=0.1 t=3842
zhao shen me 	找什麼	c=0 d=0.1 t=4126
zhao shen me hui 	找什麼回	c=1 d=1 t=4127
zhao wo 	找我	c=1 d=1 t=3873
zhao xin 	赵新	c=1 d=1 t=1994
zhe 	着	c=0 d=0.1 t=3169
zhe 	這	c=6 d=0.183544 t=6036
zhe ba jiu 	這把就	c=1 d=1 t=5551
zhe bao kuo 	這包括	c=1 d=1 t=245
zhe bing bu wei fan 	這並不違反	c=1 d=1 t=3465
zhe bu 	這不	c=1 d=1 t=5373
zhe bu guo shi 	這不過是	c=1 d=1 t=3455
zhe chang 	這場	c=1 d=0.932394 t=130
zhe ci 	這次	c=3 d=0.101385 t=1875
zhe ci chong tu 	這次衝突	c=2 d=1.77105 t=154
zhe ci shi yan 	這次實驗	c=1 d=1 t=1876
zhe duan 	這段	c=0 d=0.172253 t=5136
zhe duan dai ma 	這段代碼	c=5 d=1.02208 t=6237
zhe dui 	這對	c=1 d=1 t=410
zhe er 	這兒	c=1 d=1 t=6572
zhe fen 	這份	c=2 d=1.08511 t=6278
